1000 5000
930 411 6
930 404 2
930 561 8
930 368 3
930 741 4
931 129 3
931 145 9
931 392 9
931 949 9
931 781 4
931 530 2
931 899 3
931 75 4
932 73 5
932 120 9
932 297 8
932 361 3
932 821 8
932 844 4
932 109 5
932 88 10
933 50 7
933 759 7
933 39 9
933 222 5
933 940 10
933 347 9
933 118 6
934 890 2
934 265 4
934 483 7
935 116 5
935 778 10
935 542 7
936 550 8
936 268 5
936 250 1
936 301 2
937 761 10
937 670 5
937 168 7
937 330 6
937 183 4
937 294 9
937 965 4
938 755 10
938 86 7
938 396 5
938 476 5
939 455 9
939 793 10
939 985 6
939 757 10
940 374 6
940 809 8
940 448 10
940 245 3
940 262 2
941 331 7
941 710 10
941 778 9
941 527 6
941 877 9
941 233 5
942 242 5
942 422 8
943 541 1
943 798 2
943 857 2
943 837 8
943 494 4
943 289 2
944 712 8
944 55 4
944 558 2
944 553 6
944 15 4
944 283 2
944 686 9
945 590 9
945 267 4
945 867 5
945 183 10
946 675 4
946 691 4
946 236 4
946 972 6
946 521 6
946 989 7
946 445 1
946 514 10
947 155 7
947 815 4
947 659 10
948 338 8
948 173 2
948 575 9
948 459 4
948 140 5
948 796 10
948 368 5
949 495 7
949 230 5
949 969 10
949 356 1
949 902 10
949 62 8
949 904 4
950 408 10
950 263 4
950 949 1
950 961 4
950 816 7
950 164 3
951 276 10
951 732 3
951 564 10
951 301 5
952 704 3
952 836 9
952 394 7
952 679 4
952 387 8
952 308 9
952 688 4
952 215 8
953 4 7
954 365 3
954 429 7
955 166 8
955 891 5
955 543 5
955 15 4
955 971 3
955 498 7
955 38 7
955 88 9
956 911 8
956 592 8
956 188 8
956 732 3
956 576 7
956 447 10
956 508 8
957 400 7
958 151 2
958 77 3
958 817 8
958 76 1
958 327 10
959 697 6
959 160 9
959 240 10
959 878 9
959 937 6
959 745 6
960 469 3
960 517 8
960 948 8
960 562 10
960 879 1
960 243 10
960 934 1
960 642 1
960 198 1
961 547 5
961 976 2
961 190 6
961 141 3
961 494 2
961 261 2
961 747 4
962 87 10
962 998 4
962 568 9
962 872 4
962 429 4
962 393 1
963 27 2
963 931 10
963 492 5
963 944 8
964 884 7
964 719 5
964 781 2
964 206 4
965 673 6
965 678 6
966 411 1
966 774 4
966 880 3
966 607 7
966 719 8
966 897 7
967 502 2
967 872 5
967 163 10
967 797 10
967 382 6
967 942 6
967 563 2
968 682 3
968 275 4
968 409 1
968 455 1
968 453 2
968 590 2
968 776 4
969 672 4
969 317 1
969 671 7
969 799 1
970 19 2
970 717 2
970 549 6
970 463 5
970 696 1
970 107 6
971 957 4
971 537 1
971 799 8
971 579 9
971 590 8
971 793 1
972 475 8
972 426 4
973 424 5
973 634 2
973 302 3
973 712 4
973 981 3
974 210 10
974 36 1
974 406 5
974 681 6
974 16 6
974 692 7
975 277 10
975 79 10
976 973 6
977 305 3
977 804 3
977 492 2
977 744 2
977 689 8
977 562 7
978 149 3
978 472 8
978 605 4
978 741 5
979 985 2
979 217 4
979 887 4
980 243 6
980 289 6
980 717 9
980 226 8
980 207 8
980 392 1
980 737 6
981 906 10
981 600 3
981 613 4
982 262 7
982 266 5
982 670 10
982 785 8
983 653 7
983 779 10
983 331 6
983 372 4
983 731 4
984 596 8
984 363 1
984 986 6
984 185 10
984 278 7
984 766 9
984 37 8
985 129 3
985 973 6
986 595 1
986 86 4
986 260 2
987 975 2
987 611 2
987 695 1
987 336 4
988 602 8
988 156 1
988 519 3
988 538 4
988 594 4
988 439 2
988 778 5
988 822 7
989 96 7
989 899 1
989 720 1
989 429 6
989 384 10
989 71 7
990 675 2
991 778 4
991 805 8
992 272 4
992 284 9
992 233 2
992 809 5
992 621 5
992 688 7
992 549 8
992 500 6
992 825 2
992 885 4
992 162 3
993 830 2
993 334 3
993 742 4
993 264 3
993 232 10
994 790 1
994 753 3
994 181 6
994 390 8
995 186 5
995 770 10
996 778 7
996 469 1
996 638 8
996 880 4
997 786 8
997 515 10
998 109 4
998 746 7
998 268 1
998 367 9
Source: 240
